pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
1  82c2  78         SEI         A:00 X:00 Y:00 P:20 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
2  82c3  d8         CLD         A:00 X:00 Y:00 P:24 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
3  82c4  a2 40      LDX #$40    A:00 X:00 Y:00 P:24 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
4  82c6  8e 17 40   STX $4017   A:00 X:40 Y:00 P:24 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
5  82c9  a6 ff      LDX $ff     A:00 X:40 Y:00 P:24 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
6  82cb  9a         TXS         A:00 X:00 Y:00 P:26 SP:ff P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
7  82cc  a2 00      LDX #$00    A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
8  82ce  8e 00 20   STX $2000   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
9  82d1  8e 01 20   STX $2001   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
10  82d4  8e 10 40   STX $4010   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
11  82d7  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
