pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
c000  4c f5 c5   JMP $c5f5   A:00 X:00 Y:00 P:24 SP:fd CYC:7
c5f5  a2 00      LDX #$00    A:00 X:00 Y:00 P:24 SP:fd CYC:10
c5f7  86 00      STX $00     A:00 X:00 Y:00 P:26 SP:fd CYC:12
c5f9  86 10      STX $10     A:00 X:00 Y:00 P:26 SP:fd CYC:15
c5fb  86 11      STX $11     A:00 X:00 Y:00 P:26 SP:fd CYC:18
c5fd  20 2d c7   JSR $c72d   A:00 X:00 Y:00 P:26 SP:fd CYC:21
c72d  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:27
c72e  38         SEC         A:00 X:00 Y:00 P:26 SP:fb CYC:29
c72f  b0 04      BCS $c735   A:00 X:00 Y:00 P:27 SP:fb CYC:31
c735  ea         NOP         A:00 X:00 Y:00 P:27 SP:fb CYC:34
c736  18         CLC         A:00 X:00 Y:00 P:27 SP:fb CYC:36
c737  b0 03      BCS $c73c   A:00 X:00 Y:00 P:26 SP:fb CYC:38
c739  4c 40 c7   JMP $c740   A:00 X:00 Y:00 P:26 SP:fb CYC:40
c740  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:43
c741  38         SEC         A:00 X:00 Y:00 P:26 SP:fb CYC:45
c742  90 03      BCC $c747   A:00 X:00 Y:00 P:27 SP:fb CYC:47
c744  4c 4b c7   JMP $c74b   A:00 X:00 Y:00 P:27 SP:fb CYC:49
c74b  ea         NOP         A:00 X:00 Y:00 P:27 SP:fb CYC:52
c74c  18         CLC         A:00 X:00 Y:00 P:27 SP:fb CYC:54
c74d  90 04      BCC $c753   A:00 X:00 Y:00 P:26 SP:fb CYC:56
c753  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:59
c754  a9 00      LDA #$00    A:00 X:00 Y:00 P:26 SP:fb CYC:61
c756  f0 04      BEQ $c75c   A:00 X:00 Y:00 P:26 SP:fb CYC:63
c75c  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:66
c75d  a9 40      LDA #$40    A:00 X:00 Y:00 P:26 SP:fb CYC:68
c75f  f0 03      BEQ $c764   A:40 X:00 Y:00 P:24 SP:fb CYC:70
